external_id	source_type	trait	source_url	population	category	sample_size	notes
GCST90011874	gwas_catalog	Noncognitive aspects of educational attainment	https://doi.org/10.1038/s41588-020-00754-2	European	Behavioral	510795	Demange et al. 2021 PMID 33414549.
GCST90011875	gwas_catalog	Cognitive aspects of educational attainment	https://doi.org/10.1038/s41588-020-00754-2	European	Behavioral	257700	Demange et al. 2021 PMID 33414549.
GBMI.Abdominal_Aortic_Aneurysm	zenodo_indep107	Abdominal aortic aneurysm	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
GBMI.Acute_Appendicitis	zenodo_indep107	Acute appendicitis	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
GBMI.Asthma	zenodo_indep107	Asthma	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
GBMI.Primary_Apen_Angle_Glaucoma	zenodo_indep107	Primary open-angle glaucoma	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Atrial_Fibrillation_And_Flutter	zenodo_indep107	Atrial fibrillation and flutter	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Blood_Clot_DVT_Bronchitis_Emphysema_Asthma_Rhinitis_Eczema_Allergy_Diagnosed_By_Doctor	zenodo_indep107	Bronchitis emphysema asthma rhinitis eczema allergy diagnosed by doctor	https://doi.org/10.5281/zenodo.10515792	European	Blood/immune/inflammatory	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Breast_Cancer_female	zenodo_indep107	Breast cancer female	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.C44_Other_Malignant_Neoplasms_Of_Skin	zenodo_indep107	Malignant neoplasms of skin	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Diverticulosis_And_Diverticulitis	zenodo_indep107	Diverticulosis and diverticulitis	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Inguinal_Hernia	zenodo_indep107	Inguinal hernia	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Mouth_Teeth_Dental_Problems	zenodo_indep107	Mouth teeth dental problems	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PANUKBB.Varicose_Vein_Surgery	zenodo_indep107	Varicose vein surgery	https://doi.org/10.5281/zenodo.10515792	European	Cardio/metabolic	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Acne_Vulgaris.TederLaving2023	zenodo_indep107	Acne vulgaris	https://doi.org/10.5281/zenodo.10515792	European	Other	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Age_First_Birth.Barban2016	zenodo_indep107	Age first birth	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Aging_Parental_Lifespan.Timmers2020	zenodo_indep107	Aging parental lifespan	https://doi.org/10.5281/zenodo.10515792	European	Life history/reproduction	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Alcohol_use.SanchezRoige2018	zenodo_indep107	Alcohol use AUDIT	https://doi.org/10.5281/zenodo.10515792	European	Behavioral	NA	S-LDSC reference file in sumstats_indep107.tgz.
PASS.Alzheimers_Disease.Wightman2021	zenodo_indep107	Alzheimer's disease	https://doi.org/10.5281/zenodo.10515792	European	Mental/psychiatric/nervous	NA	S-LDSC reference file in sumstats_indep107.tgz.
